DNI,Index_original,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_complet,Nascut_a_Espanya,data_naixement,edat,Increment,Salari mensual actualitzat
27724652S,1,Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Dona,1253,Sí,Grup A,Clara Sánchez Martínez,True,1996-03-18,29,0.05,1315.65
38141675A,2,Fatima,Fassi,Marroc,Rabat,6,11,2005,Altres,1441,Sí,Grup A,Fatima Fassi,False,2005-11-06,20,0.05,1513.05
69630528M,4,Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Home,1043,No,Grup A,Toni Sánchez García,True,1999-08-09,26,0.05,1095.15
78247593G,6,Carla,García,Espanya,València,24,12,1957,Dona,942,No,Grup A,Carla García,True,1957-12-24,67,0.05,989.1
21774231J,7,Marco,Rossi,Itàlia,Torí,3,11,2002,Altres,1494,No,Grup A,Marco Rossi,False,2002-11-03,23,0.05,1568.7
87316866D,8,Alessia,Rossi,Itàlia,Milà,6,12,1989,Dona,1366,No,Grup A,Alessia Rossi,False,1989-12-06,35,0.05,1434.3
14219925Z,9,Toni,Martínez,Espanya,Barcelona,16,5,1964,Home,891,No,Grup A,Toni Martínez,True,1964-05-16,61,0.05,935.55
40695825B,10,Oriol,Sánchez,Espanya,Barcelona,27,7,1965,Home,1250,No,Grup A,Oriol Sánchez,True,1965-07-27,60,0.05,1312.5
66129686T,12,Jean,Dubois,França,Marsella,16,12,1964,Home,1593,Sí,Grup A,Jean Dubois,False,1964-12-16,60,0.05,1672.65
83982081H,14,Eva,Castells,Espanya,Sevilla,3,5,1968,,1247,Sí,Grup A,Eva Castells,True,1968-05-03,57,0.05,1309.35
86981189A,16,Camila,Hernández Ramírez,Mèxic,Guadalajara,17,12,1996,Dona,1170,Sí,Grup A,Camila Hernández Ramírez,False,1996-12-17,28,0.05,1228.5
13107162J,17,Núria,Castells,Espanya,Barcelona,2,7,2005,Dona,1344,Sí,Grup A,Núria Castells,True,2005-07-02,20,0.05,1411.2
28973553Z,21,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,951,No,Grup A,Mia Schneider Fischer,False,1976-10-22,49,0.05,998.55
43855905B,27,Eva,Castells,Espanya,Madrid,1,12,1965,Dona,879,No,Grup A,Eva Castells,True,1965-12-01,60,0.05,922.95
89977538X,28,Oriol,López Martínez,Espanya,Barcelona,25,6,1952,Home,1019,Sí,Grup A,Oriol López Martínez,True,1952-06-25,73,0.05,1069.95
47103299Z,30,Núria,Ferrer Romero,Espanya,València,6,2,2003,,1256,No,Grup A,Núria Ferrer Romero,True,2003-02-06,22,0.05,1318.8
18876645B,33,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1313,No,Grup A,Matías Gómez Álvarez,False,1955-12-04,70,0.05,1378.65
48870261R,34,Jordi,Sánchez,Espanya,Bilbao,16,8,1962,Home,742,No,Grup A,Jordi Sánchez,True,1962-08-16,63,0.05,779.1
67466708W,36,Jordi,Romero,Espanya,Barcelona,27,8,1968,Home,808,No,Grup A,Jordi Romero,True,1968-08-27,57,0.05,848.4
95012750D,38,Carla,García,Espanya,Sevilla,17,5,1952,Dona,963,Sí,Grup A,Carla García,True,1952-05-17,73,0.05,1011.15
42754306Q,40,Toni,López Sánchez,Espanya,Barcelona,25,2,1975,Home,990,No,Grup A,Toni López Sánchez,True,1975-02-25,50,0.05,1039.5
17856143W,41,Anna,Martínez Martínez,Espanya,Bilbao,26,9,1972,Dona,780,No,Grup A,Anna Martínez Martínez,True,1972-09-26,53,0.05,819.0
38605068P,43,Toni,Martínez,Espanya,Sevilla,24,7,1982,Home,1515,Sí,Grup A,Toni Martínez,True,1982-07-24,43,0.05,1590.75
71226479A,49,Toni,Sánchez García,Espanya,Bilbao,28,2,2000,Home,1381,No,Grup A,Toni Sánchez García,True,2000-02-28,25,0.05,1450.05
10911456V,50,Marta,López,Espanya,Sevilla,6,6,1954,Dona,1484,No,Grup A,Marta López,True,1954-06-06,71,0.05,1558.2
58027402M,51,Joan,López,Espanya,Madrid,5,3,1957,Home,967,No,Grup A,Joan López,True,1957-03-05,68,0.05,1015.35
29075001G,52,Eva,Ferrer,Espanya,Madrid,27,1,1974,Dona,1001,No,Grup A,Eva Ferrer,True,1974-01-27,51,0.05,1051.05
75145716V,53,Joan,López,Espanya,València,1,2,1952,Home,1502,No,Grup A,Joan López,True,1952-02-01,73,0.05,1577.1
83083855T,59,Oriol,García,Espanya,València,12,6,2002,Home,1288,Sí,Grup A,Oriol García,True,2002-06-12,23,0.05,1352.4
66876326G,61,Jordi,Sánchez,Espanya,València,19,6,1984,Home,1243,Sí,Grup A,Jordi Sánchez,True,1984-06-19,41,0.05,1305.15
55802716W,65,Miguel,González,Mèxic,Ciutat de Mèxic,22,3,2002,Home,1531,No,Grup A,Miguel González,False,2002-03-22,23,0.05,1607.55
86310227T,67,Núria,Martínez,Espanya,Madrid,19,3,1986,Dona,1405,No,Grup A,Núria Martínez,True,1986-03-19,39,0.05,1475.25
79942683D,69,Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,,1252,No,Grup A,Valentina Torres Torres,False,1951-07-24,74,0.05,1314.6
17393705Z,72,Joan,Castells,Espanya,Barcelona,10,12,1975,Home,1667,Sí,Grup A,Joan Castells,True,1975-12-10,49,0.05,1750.35
94678339J,73,Anna,Martínez Martínez,Espanya,Sevilla,10,4,1985,Dona,1333,No,Grup A,Anna Martínez Martínez,True,1985-04-10,40,0.05,1399.65
82819660N,75,Michel,Moreau,França,Lió,2,5,1970,Home,810,No,Grup A,Michel Moreau,False,1970-05-02,55,0.05,850.5
98082914F,77,Anna,Ferrer Sánchez,Espanya,Bilbao,21,10,1982,Dona,1323,No,Grup A,Anna Ferrer Sánchez,True,1982-10-21,43,0.05,1389.15
96108474K,79,Clara,García,Espanya,Sevilla,10,3,1955,Dona,809,No,Grup A,Clara García,True,1955-03-10,70,0.05,849.45
96617848Y,81,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1064,No,Grup A,Valentina Gutiérrez Castro,False,2001-01-02,24,0.05,1117.2
14944003P,83,Arnau,Sánchez López,Espanya,Barcelona,28,6,1960,Home,1116,No,Grup A,Arnau Sánchez López,True,1960-06-28,65,0.05,1171.8
34050427S,84,Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1167,No,Grup A,Daniela Castro Castro,False,1980-12-25,44,0.05,1225.35
64134967K,85,Clara,Sánchez,Espanya,Bilbao,1,10,1965,Dona,817,Sí,Grup A,Clara Sánchez,True,1965-10-01,60,0.05,857.85
98288475Z,89,Youssef,Bennani,Marroc,Casablanca,20,9,1957,Home,780,Sí,Grup A,Youssef Bennani,False,1957-09-20,68,0.05,819.0
80981912X,90,Eva,Martínez,Espanya,Barcelona,11,9,1974,Dona,783,No,Grup A,Eva Martínez,True,1974-09-11,51,0.05,822.15
49728917R,91,Sophie,Taylor,Regne Unit,Londres,27,2,1983,Dona,1469,No,Grup A,Sophie Taylor,False,1983-02-27,42,0.05,1542.45
64074954W,92,Mohamed,Zahraoui,Marroc,Rabat,18,11,1950,Home,1496,No,Grup A,Mohamed Zahraoui,False,1950-11-18,75,0.05,1570.8
31039740J,93,Anna,Castells,Espanya,Bilbao,20,3,1987,Dona,1381,No,Grup A,Anna Castells,True,1987-03-20,38,0.05,1450.05
76740096F,96,Joan,Romero Romero,Espanya,Barcelona,21,2,1999,Home,1543,Sí,Grup A,Joan Romero Romero,True,1999-02-21,26,0.05,1620.15
42373200J,98,Anna,Sánchez,Espanya,Barcelona,17,7,1984,Altres,1438,Sí,Grup A,Anna Sánchez,True,1984-07-17,41,0.05,1509.9
91877877E,100,Tiago,Ferreira,Portugal,Porto,22,11,1993,Home,1246,Sí,Grup A,Tiago Ferreira,False,1993-11-22,32,0.05,1308.3
