DNI,Index_original,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_complet,Nascut_a_Espanya,data_naixement,edat,Increment,Salari mensual actualitzat
16928694K,0,Inês,Ferreira Silva,Portugal,Lisboa,25,2,1953,Dona,1144,No,Grup B,Inês Ferreira Silva,False,1953-02-25,72,0.035,1184.04
59157262R,3,Khadija,Bennani Bennani,Marroc,Rabat,20,1,1995,Dona,1944,No,Grup B,Khadija Bennani Bennani,False,1995-01-20,30,0.035,2012.04
74222289K,13,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1438,No,Grup B,Toni Castells Romero,True,1961-04-13,64,0.035,1488.33
22021087Z,18,Núria,García López,Espanya,Madrid,8,6,1969,Dona,1374,No,Grup B,Núria García López,True,1969-06-08,56,0.035,1422.09
29801291B,20,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2102,Sí,Grup B,Toni Castells Martínez,True,1981-01-10,44,0.035,2175.57
83874145K,24,Chloé,Lefevre,França,Marsella,10,9,1973,Dona,1901,Sí,Grup B,Chloé Lefevre,False,1973-09-10,52,0.035,1967.54
17029292R,26,Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2027,Sí,Grup B,Marc Romero Martínez,True,1993-07-04,32,0.035,2097.94
59690898N,31,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1498,Sí,Grup B,Oriol López Ferrer,True,1969-11-03,56,0.035,1550.43
60170471X,32,Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Altres,2129,No,Grup B,Toni Martínez Castells,True,1952-04-20,73,0.035,2203.52
37846341L,35,Isla,Jones,Regne Unit,Manchester,26,6,1985,Dona,1412,Sí,Grup B,Isla Jones,False,1985-06-26,40,0.035,1461.42
33445957H,37,Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Dona,1421,No,Grup B,Eva Ferrer Martínez,True,1960-05-04,65,0.035,1470.74
96482330F,39,Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1550,Sí,Grup B,Marc Ferrer Ferrer,True,1974-03-20,51,0.035,1604.25
90731738C,44,Pau,Martínez,Espanya,Madrid,17,8,1999,Home,1971,No,Grup B,Pau Martínez,True,1999-08-17,26,0.035,2039.98
45888164B,45,Giulia,Conti,Itàlia,Roma,8,7,1998,Dona,1968,Sí,Grup B,Giulia Conti,False,1998-07-08,27,0.035,2036.88
89187959Z,46,Anna,Sánchez,Espanya,Sevilla,21,10,1955,Dona,1304,No,Grup B,Anna Sánchez,True,1955-10-21,70,0.035,1349.64
17851044J,47,Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1319,Sí,Grup B,Pau Ferrer,True,1957-04-25,68,0.035,1365.16
16587202X,54,Eva,López,Espanya,Bilbao,16,12,1974,Dona,1963,No,Grup B,Eva López,True,1974-12-16,50,0.035,2031.7
43485739Q,58,Andrés,González,Mèxic,Guadalajara,26,2,1992,Home,2279,Sí,Grup B,Andrés González,False,1992-02-26,33,0.035,2358.76
32384138R,62,Clara,Sánchez López,Espanya,València,27,7,1955,Dona,2013,Sí,Grup B,Clara Sánchez López,True,1955-07-27,70,0.035,2083.46
27772301M,63,Anna,Castells Romero,Espanya,València,25,8,1978,Dona,1672,No,Grup B,Anna Castells Romero,True,1978-08-25,47,0.035,1730.52
44988676P,64,Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1887,No,Grup B,Eva Sánchez,True,1977-01-10,48,0.035,1953.04
58904747N,66,Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1521,No,Grup B,Joan Ferrer,True,1994-11-13,31,0.035,1574.24
63852668M,76,Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Dona,1452,No,Grup B,Anna Sánchez García,True,1993-07-13,32,0.035,1502.82
57230838V,78,Khadija,Fassi,Marroc,Rabat,10,5,1970,Dona,1422,No,Grup B,Khadija Fassi,False,1970-05-10,55,0.035,1471.77
23876940J,86,Marta,Romero,Espanya,València,25,11,2002,Dona,1258,No,Grup B,Marta Romero,True,2002-11-25,23,0.035,1302.03
45581974X,95,Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1352,Sí,Grup B,Núria Romero,True,1993-10-26,32,0.035,1399.32
91110497A,97,Arnau,García,Espanya,València,2,1,1954,Home,2126,No,Grup B,Arnau García,True,1954-01-02,71,0.035,2200.41
90181637T,111,Núria,López,Espanya,Bilbao,1,1,1973,Dona,1667,Sí,Grup B,Núria López,True,1973-01-01,52,0.035,1725.34
82953871E,114,Toni,Castells,Espanya,València,1,4,1963,Home,1764,Sí,Grup B,Toni Castells,True,1963-04-01,62,0.035,1825.74
57340670Z,121,Gabriela,González,Mèxic,Ciutat de Mèxic,17,6,1955,Dona,1612,Sí,Grup B,Gabriela González,False,1955-06-17,70,0.035,1668.42
21762997G,131,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1473,No,Grup B,Pau Sánchez,True,1962-03-13,63,0.035,1524.55
53012171X,134,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2057,Sí,Grup B,Laia Sánchez Castells,True,1970-11-21,55,0.035,2129.0
41156735G,135,Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1674,No,Grup B,Toni Castells,True,1990-06-07,35,0.035,1732.59
12234836K,138,Chloé,Girard,França,Marsella,17,4,1977,Dona,1985,Sí,Grup B,Chloé Girard,False,1977-04-17,48,0.035,2054.48
99521295N,139,Anna,Castells Martínez,Espanya,València,3,4,1991,Dona,1414,No,Grup B,Anna Castells Martínez,True,1991-04-03,34,0.035,1463.49
37399141L,154,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1769,Sí,Grup B,Laura Schneider Fischer,False,1958-02-02,67,0.035,1830.92
15110846Z,156,Oriol,López,Espanya,València,27,6,2002,Home,1308,No,Grup B,Oriol López,True,2002-06-27,23,0.035,1353.78
83165476Y,157,Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Altres,1240,No,Grup B,Núria García Ferrer,True,1957-06-17,68,0.035,1283.4
28967396E,159,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1456,No,Grup B,Daniel Gutiérrez Castro,False,1976-05-04,49,0.035,1506.96
47304350Y,161,Jordi,Ferrer,Espanya,València,21,6,1967,Home,1330,Sí,Grup B,Jordi Ferrer,True,1967-06-21,58,0.035,1376.55
54585678Q,165,Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2125,Sí,Grup B,Pau López Martínez,True,1967-05-22,58,0.035,2199.38
42625930X,166,Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1528,No,Grup B,Joan Romero,True,1987-11-15,38,0.035,1581.48
44075059L,167,Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1815,Sí,Grup B,Oriol Sánchez Sánchez,True,2002-03-17,23,0.035,1878.52
24435321M,170,Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Dona,1872,Sí,Grup B,Marta Castells Ferrer,True,1981-03-15,44,0.035,1937.52
68455541R,172,Sofia,Oliveira,Portugal,Porto,5,7,1952,Dona,1413,No,Grup B,Sofia Oliveira,False,1952-07-05,73,0.035,1462.46
12763903J,175,Eva,Martínez,Espanya,Madrid,19,10,1974,,2015,No,Grup B,Eva Martínez,True,1974-10-19,51,0.035,2085.52
87744901Q,176,Toni,García,Espanya,Bilbao,20,9,1990,Home,1698,No,Grup B,Toni García,True,1990-09-20,35,0.035,1757.43
28996393T,178,Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Home,1941,No,Grup B,Oriol Sánchez Martínez,True,1981-01-05,44,0.035,2008.94
55395479J,179,Anna,Ferrer,Espanya,València,6,10,1984,Dona,1531,Sí,Grup B,Anna Ferrer,True,1984-10-06,41,0.035,1584.58
33939128K,183,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2080,Sí,Grup B,Matías Gómez Gómez,False,2002-08-18,23,0.035,2152.8
28394981G,184,Jean,Girard Moreau,França,París,26,9,1991,,1573,Sí,Grup B,Jean Girard Moreau,False,1991-09-26,34,0.035,1628.05
83703395A,187,Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2100,No,Grup B,Pau Martínez,True,1959-02-14,66,0.035,2173.5
73749390X,191,Eva,Romero Ferrer,Espanya,València,7,12,1965,Dona,1861,No,Grup B,Eva Romero Ferrer,True,1965-12-07,59,0.035,1926.13
42823610D,193,Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1669,Sí,Grup B,Eva Castells,True,1956-07-09,69,0.035,1727.42
75141877A,195,Fatima,Fassi,Marroc,Casablanca,18,3,1958,Dona,1154,No,Grup B,Fatima Fassi,False,1958-03-18,67,0.035,1194.39
43586389Z,196,Jordi,Ferrer,Espanya,Sevilla,15,2,1958,Home,1797,No,Grup B,Jordi Ferrer,True,1958-02-15,67,0.035,1859.89
98144857C,197,Arnau,Sánchez,Espanya,Sevilla,21,10,1990,Home,2149,No,Grup B,Arnau Sánchez,True,1990-10-21,35,0.035,2224.21
33058070M,200,Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1929,No,Grup B,Marta Romero García,True,1973-05-11,52,0.035,1996.52
41916963A,201,Marta,Romero,Espanya,Sevilla,27,4,1976,Dona,1759,No,Grup B,Marta Romero,True,1976-04-27,49,0.035,1820.56
33287222R,202,Toni,Romero,Espanya,València,19,1,1974,Home,1451,No,Grup B,Toni Romero,True,1974-01-19,51,0.035,1501.78
29151933K,206,Arnau,Romero Romero,Espanya,València,8,10,1968,Home,1811,No,Grup B,Arnau Romero Romero,True,1968-10-08,57,0.035,1874.38
21050694P,210,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1493,No,Grup B,Toni Sánchez,True,1987-01-01,38,0.035,1545.26
90216874S,212,Jordi,Ferrer,Espanya,Sevilla,12,7,2003,Home,1413,No,Grup B,Jordi Ferrer,True,2003-07-12,22,0.035,1462.46
74017954Q,219,Anna,Sánchez,Espanya,València,25,2,1981,Dona,1200,No,Grup B,Anna Sánchez,True,1981-02-25,44,0.035,1242.0
73563832M,221,Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,1970,No,Grup B,Oriol Ferrer Romero,True,1985-02-09,40,0.035,2038.95
86350703G,222,Sophie,Smith,Regne Unit,Manchester,8,1,1957,Dona,1254,Sí,Grup B,Sophie Smith,False,1957-01-08,68,0.035,1297.89
37368317L,224,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2013,No,Grup B,Lea Schneider Schneider,False,2005-10-23,20,0.035,2083.46
83710837G,232,José,González Ramírez,Mèxic,Ciutat de Mèxic,2,3,1955,Home,1677,No,Grup B,José González Ramírez,False,1955-03-02,70,0.035,1735.7
69273831N,244,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1893,No,Grup B,Sara Gutiérrez,False,1970-02-26,55,0.035,1959.26
27292471C,245,Eva,García,Espanya,Bilbao,18,10,1962,,2135,No,Grup B,Eva García,True,1962-10-18,63,0.035,2209.72
41171214L,249,Jordi,Romero García,Espanya,Sevilla,6,8,2000,Home,1972,Sí,Grup B,Jordi Romero García,True,2000-08-06,25,0.035,2041.02
15594293F,251,Emily,Jones,Regne Unit,Londres,15,11,1969,Dona,1274,No,Grup B,Emily Jones,False,1969-11-15,56,0.035,1318.59
51884150Q,256,Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1493,Sí,Grup B,Joan Romero Sánchez,True,1951-07-24,74,0.035,1545.26
65118360Z,258,Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2091,No,Grup B,Joan Romero Martínez,True,1954-11-19,71,0.035,2164.18
21526488C,260,Joan,Sánchez,Espanya,València,9,8,1997,Home,2303,Sí,Grup B,Joan Sánchez,True,1997-08-09,28,0.035,2383.6
49061102W,263,Mohamed,El Amrani Zahraoui,Marroc,Casablanca,12,8,1984,Altres,1545,Sí,Grup B,Mohamed El Amrani Zahraoui,False,1984-08-12,41,0.035,1599.07
