DNI,Index_original,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_complet,Nascut_a_Espanya,data_naixement,edat,Increment,Salari mensual actualitzat
26930927E,5,Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Altres,2611,No,Grup D,Laia Castells Ferrer,True,1953-12-16,71,0.08,2819.88
33234964B,15,Marta,Romero,Espanya,Madrid,10,5,2001,Dona,2810,Sí,Grup D,Marta Romero,True,2001-05-10,24,0.08,3034.8
98967015K,22,Laia,Martínez Sánchez,Espanya,Madrid,14,6,1961,Dona,2596,No,Grup D,Laia Martínez Sánchez,True,1961-06-14,64,0.08,2803.68
58465525T,25,Clara,Ferrer,Espanya,Madrid,17,7,1990,Dona,2679,No,Grup D,Clara Ferrer,True,1990-07-17,35,0.08,2893.32
89245220G,68,Michel,Lefevre,França,París,21,8,1974,Home,2661,No,Grup D,Michel Lefevre,False,1974-08-21,51,0.08,2873.88
32447081S,70,Marc,Martínez,Espanya,Sevilla,1,8,1977,Home,3040,No,Grup D,Marc Martínez,True,1977-08-01,48,0.08,3283.2
79911049R,71,Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2668,Sí,Grup D,Lea Schneider,False,1950-09-22,75,0.08,2881.44
31532532F,80,Laia,Castells,Espanya,Bilbao,19,4,1950,Dona,2448,No,Grup D,Laia Castells,True,1950-04-19,75,0.08,2643.84
17081236L,87,Eva,Sánchez,Espanya,Madrid,9,9,1992,Dona,2885,Sí,Grup D,Eva Sánchez,True,1992-09-09,33,0.08,3115.8
97855153L,99,Carla,Martínez,Espanya,Madrid,21,3,1973,Dona,2850,No,Grup D,Carla Martínez,True,1973-03-21,52,0.08,3078.0
58847232T,115,Arnau,Sánchez García,Espanya,València,24,2,1978,Home,3283,No,Grup D,Arnau Sánchez García,True,1978-02-24,47,0.08,3545.64
58966169Z,147,Núria,Sánchez Castells,Espanya,Madrid,12,5,1981,,2742,No,Grup D,Núria Sánchez Castells,True,1981-05-12,44,0.08,2961.36
81229041Z,173,Carla,López Ferrer,Espanya,Sevilla,4,9,1962,Dona,2861,No,Grup D,Carla López Ferrer,True,1962-09-04,63,0.08,3089.88
99258742G,177,Amina,Bennani,Marroc,Casablanca,22,10,2004,Dona,2948,Sí,Grup D,Amina Bennani,False,2004-10-22,21,0.08,3183.84
33484869X,180,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2756,No,Grup D,Jordi Sánchez,True,1981-06-06,44,0.08,2976.48
88845881E,181,Pau,Martínez López,Espanya,Madrid,3,11,2000,Home,2785,Sí,Grup D,Pau Martínez López,True,2000-11-03,25,0.08,3007.8
73128127J,220,Arnau,Castells Sánchez,Espanya,València,17,4,1998,Home,2791,No,Grup D,Arnau Castells Sánchez,True,1998-04-17,27,0.08,3014.28
91487269P,238,Maria,Silva Oliveira,Portugal,Lisboa,4,9,1993,,2894,No,Grup D,Maria Silva Oliveira,False,1993-09-04,32,0.08,3125.52
94898766F,254,Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3175,No,Grup D,Joan Romero,True,1969-04-26,56,0.08,3429.0
87813160D,255,Arnau,Ferrer,Espanya,València,24,3,1990,Altres,2605,Sí,Grup D,Arnau Ferrer,True,1990-03-24,35,0.08,2813.4
81992107P,259,María,Cruz,Mèxic,Ciutat de Mèxic,14,3,1958,Dona,2653,Sí,Grup D,María Cruz,False,1958-03-14,67,0.08,2865.24
86419307C,341,Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Dona,2433,Sí,Grup D,Eva Castells Romero,True,1988-07-25,37,0.08,2627.64
94076717B,376,Marc,López,Espanya,Sevilla,8,2,1987,,2969,No,Grup D,Marc López,True,1987-02-08,38,0.08,3206.52
63108914N,394,Joan,Martínez Sánchez,Espanya,València,18,2,1986,Home,3318,Sí,Grup D,Joan Martínez Sánchez,True,1986-02-18,39,0.08,3583.44
19631537S,406,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,2825,Sí,Grup D,Laia Ferrer,True,1987-12-21,37,0.08,3051.0
10624826J,412,Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Dona,2964,No,Grup D,Laia Sánchez López,True,1972-08-05,53,0.08,3201.12
31274825R,427,Clara,García Martínez,Espanya,Sevilla,2,9,1986,Dona,2396,No,Grup D,Clara García Martínez,True,1986-09-02,39,0.08,2587.68
19356603P,431,Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2683,No,Grup D,Marta Castells,True,2003-10-02,22,0.08,2897.64
19313369G,432,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3014,No,Grup D,Florencia Rodríguez Álvarez,False,1999-11-27,26,0.08,3255.12
26634596X,438,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,2778,No,Grup D,Laura Schneider Müller,False,1990-11-28,35,0.08,3000.24
53672811D,448,Carla,Sánchez,Espanya,València,6,3,1957,Dona,2951,Sí,Grup D,Carla Sánchez,True,1957-03-06,68,0.08,3187.08
30289780L,451,Clara,López,Espanya,València,17,2,1951,Dona,2917,Sí,Grup D,Clara López,True,1951-02-17,74,0.08,3150.36
67448348B,470,Pau,García Romero,Espanya,Madrid,27,12,1983,Home,2821,No,Grup D,Pau García Romero,True,1983-12-27,41,0.08,3046.68
46470158A,479,Arnau,Romero,Espanya,Bilbao,26,6,1951,Home,3329,Sí,Grup D,Arnau Romero,True,1951-06-26,74,0.08,3595.32
68247465J,518,Joan,Martínez Romero,Espanya,Sevilla,4,7,1971,Home,2975,No,Grup D,Joan Martínez Romero,True,1971-07-04,54,0.08,3213.0
26689120S,537,Clara,Romero,Espanya,València,4,1,1974,Dona,3021,Sí,Grup D,Clara Romero,True,1974-01-04,51,0.08,3262.68
29203160E,553,Arnau,López Martínez,Espanya,València,24,1,1970,Home,3253,Sí,Grup D,Arnau López Martínez,True,1970-01-24,55,0.08,3513.24
44060014R,602,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2754,Sí,Grup D,Jonas Schneider,False,1985-11-22,40,0.08,2974.32
12868239Z,639,Toni,López,Espanya,Sevilla,10,3,1989,Home,2882,No,Grup D,Toni López,True,1989-03-10,36,0.08,3112.56
65535145H,650,Pau,Castells,Espanya,Bilbao,20,7,1953,Home,2952,No,Grup D,Pau Castells,True,1953-07-20,72,0.08,3188.16
33366982Q,687,Pau,García,Espanya,Madrid,11,3,1976,,2910,No,Grup D,Pau García,True,1976-03-11,49,0.08,3142.8
13080692S,708,Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Dona,2899,No,Grup D,Eva Ferrer Romero,True,2005-11-01,20,0.08,3130.92
14345055N,710,Michel,Girard Dubois,França,París,9,8,1970,Home,2973,No,Grup D,Michel Girard Dubois,False,1970-08-09,55,0.08,3210.84
96810023K,725,Jordi,López,Espanya,Madrid,25,6,1995,Home,3258,No,Grup D,Jordi López,True,1995-06-25,30,0.08,3518.64
87285985P,741,Clara,Sánchez,Espanya,Madrid,1,10,2002,Altres,3142,Sí,Grup D,Clara Sánchez,True,2002-10-01,23,0.08,3393.36
23290905N,744,Laia,López Castells,Espanya,Madrid,13,8,1971,,2615,Sí,Grup D,Laia López Castells,True,1971-08-13,54,0.08,2824.2
30561064P,749,Oriol,López Castells,Espanya,Madrid,14,4,1987,Home,3356,No,Grup D,Oriol López Castells,True,1987-04-14,38,0.08,3624.48
68512981B,777,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,2984,No,Grup D,Leon Schneider Schneider,False,1977-10-16,48,0.08,3222.72
70201568H,784,Joan,Martínez Ferrer,Espanya,València,12,3,1964,Home,2905,No,Grup D,Joan Martínez Ferrer,True,1964-03-12,61,0.08,3137.4
28237150F,832,Giovanni,Rossi Russo,Itàlia,Torí,10,12,2000,Home,2864,Sí,Grup D,Giovanni Rossi Russo,False,2000-12-10,24,0.08,3093.12
60305889V,863,Oriol,Ferrer,Espanya,Madrid,12,3,1995,Home,3257,Sí,Grup D,Oriol Ferrer,True,1995-03-12,30,0.08,3517.56
